Song Title	Date	Language
House of God Forever	8/10/14	English
The Solid Rock	8/10/14	English
Behold Our God	8/10/14	Both
God is Able	8/17/14	Spanish
Tis So Sweet To Trust In Jesus	8/17/14	Both
In Christ Alone	8/17/14	English
Mighty to Save	8/17/14	Spanish
He Reigns	8/17/14	English
Be Thou My Vision	8/17/14	English
Crown Him With Many Crowns	8/24/14	Spanish
He is Exalted	8/24/14	Both
Hosanna (Hillsong)	8/24/14	English
Did You Feel the Mountains Tremble	8/24/14	English
Sing to the King	8/24/14	Both
El Dios Que Adoramos	8/24/14	Spanish
Eres Fiel	8/31/14	Spanish
Forever	8/31/14	Both
Sovereign	8/31/14	English
Amazing Grace	8/31/14	Spanish
Days of Elijah	8/31/14	Both
The Solid Rock	8/31/14	English
Behold Our God	9/7/14	Both
How Great is our God	9/7/14	Both
Me Postro	9/7/14	Spanish
The Power of the Cross	9/7/14	English
Praise to the Lord Almighty	9/7/14	English
"Holy, Holy, Holy"	9/7/14	Both
Arise My Soul Arise	9/14/14	English
Desert Song	9/14/14	Spanish
Tengo Un Refugio	9/14/14	Spanish
Sovereign	9/14/14	English
A Mighty Fortress	9/14/14	Both
Before the Throne	9/14/14	English
Your Grace Is Enough	9/21/14	Spanish
All Hail the Power of Jesus' Name	9/21/14	Both
Sing for Joy	9/21/14	English
One God	9/21/14	English
You Never Let Go	9/21/14	English
The Stand	9/21/14	Spanish
Open the Eyes of My Heart	9/28/14	Both
Revelation Song	9/28/14	Spanish
King of Glory - Third Day	9/28/14	English
"Holy, Holy, Holy"	9/28/14	Spanish
Turn Your Eyes Upon Jesus	9/28/14	Both
Take My Life	9/28/14	English
God of Wonders	10/5/14	English
Forever	10/5/14	Both
Jesus Messiah	10/5/14	Spanish
King of Glory - Third Day	10/5/14	English
Show Us Christ	10/5/14	Spanish
In Christ Alone	10/5/14	English
Forever	10/12/14	Both
El Dios Que Adoramos	10/12/14	Spanish
Blessed Be Your Name	10/12/14	Both
Jesus Paid It All	10/12/14	English
Cada Manana	10/12/14	Spanish
Gracias	10/12/14	Spanish
When I Think About the Lord	10/19/14	English
"10,000 Reasons"	10/19/14	English
Cantare de tu Amor	10/19/14	Spanish
Give Me Jesus	10/19/14	Spanish
Mi Vida Es Cristo	10/19/14	Spanish
Follow You	10/19/14	English
Days of Elijah	10/26/14	Both
It Is Well	10/26/14	Both
Me Postro	10/26/14	Spanish
At the Cross (Love Ran Red)	10/26/14	English
Dios Majestuoso	10/26/14	Spanish
Great I Am	10/26/14	English
When I Think About the Lord	11/2/14	English
He Is Exalted	11/2/14	Both
How Great is our God	11/2/14	Both
Dios Majestuoso	11/2/14	Spanish
Give Me Jesus	11/2/14	Spanish
Great Is Thy Faithfulness	11/2/14	Both
El Dios Que Adoramos	11/9/14	Spanish
Behold Our God	11/9/14	Both
At the Cross (Love Ran Red)	11/9/14	English
Let Me Be	11/9/14	English
Sing for Joy	11/9/14	Spanish
Love Like Fire	11/9/14	Spanish
God Is Able	11/16/14	Spanish
Eres el Camino	11/16/14	Spanish
When I Think About the Lord	11/16/14	English
Sovereign	11/16/14	English
Everything Is Different	11/16/14	English
How Great Thou Art	11/16/14	Both
Dios Majestuoso	11/23/14	Spanish
All Hail the Power of Jesus' Name	11/23/14	Both
"10,000 Reasons"	11/23/14	English
Revelation Song	11/23/14	Spanish
"Holy, Holy, Holy"	11/23/14	Both
Hosanna (Hillsong)	11/23/14	English
King of Glory - Tomlin	11/30/14	English
You'll Come	11/30/14	Spanish
Reinas por la Eternidad	11/30/14	Spanish
A Mighty Fortress	11/30/14	Both
Soon	11/30/14	English
Days of Elijah	11/30/14	Both
Suenen Dulces Himnos	12/7/14	Spanish
Come Thou Long Expected Jesus	12/7/14	English
It Came Upon the Midnight Clear	12/7/14	English
Jehova Senor de los Cielos	12/7/14	Spanish
El Volvera	12/7/14	Spanish
He Reigns	12/7/14	English
O Come O Come Emmanuel	12/14/14	Both
What Child is This	12/14/14	Both
O Come All Ye Faithful	12/14/14	Both
Give Me Jesus	12/14/14	Spanish
Joy To The World	12/14/14	Both
When I Think About the Lord	12/14/14	English
Suenen Dulces Himnos	12/21/14	Spanish
Hark the Herald Angels Sing	12/21/14	Both
Angels We Have Heard on High	12/21/14	Both
I Heard the Bells on Christmas Day	12/21/14	English
Come and Worship	12/21/14	English
O Come O Come Emmanuel	12/21/14	Both
Angels We Have Heard on High	12/24/14	Both
It Came Upon the Midnight Clear	12/24/14	English
O Holy Night	12/24/14	Both
Silent Night	12/24/14	Both
Everything is Different	12/28/14	English
Tis So Sweet To Trust In Jesus	12/28/14	Both
Jesus Messiah	12/28/14	Spanish
Beautiful	12/28/14	English
Crown Him With Many Crowns	12/28/14	Spanish
He Is Exalted	12/28/14	Both
Dios Majestuoso	1/4/15	Spanish
"Holy, Holy, Holy"	1/4/15	Spanish
Oceans	1/4/15	English
To You Be The Glory	1/4/15	English
Hear the Call of the Kingdom	1/4/15	English
Mi Vida Es Cristo	1/4/15	Spanish
Prince of Peace	1/11/15	Spanish
Because He Lives	1/11/15	Both
King of Glory - Third Day	1/11/15	English
How He Loves Us	1/11/15	English
Oh Love That Will Not Let Me Go	1/11/15	Spanish
At The Cross (Love Ran Red)	1/11/15	English
All Hail the Power of Jesus' Name	1/18/15	Both
Forever	1/18/15	Both
Majesty (Here I Am)	1/18/15	English
Me Postro	1/18/15	Spanish
Love Like Fire	1/18/15	Spanish
Take My Life	1/18/15	English
Eternamente Exaltado	1/25/15	Spanish
Indescribable	1/25/15	Both
Majesty (Here I Am)	1/25/15	English
Mi Vida Es Cristo	1/25/15	Spanish
Lord I Need You	1/25/15	English
El Dios Que Adoramos	1/25/15	Spanish
Eternamente Exaltado	2/1/15	Spanish
Behold Our God	2/1/15	Both
At The Cross (Love Ran Red)	2/1/15	English
Give Me Jesus	2/1/15	Spanish
Relentless	2/1/15	English
Great I Am	2/1/15	English
Relentless	2/8/15	English
Jesus Messiah	2/8/15	Spanish
Worthy Is The Lamb	2/8/15	Both
To You Be The Glory	2/8/15	English
Eres El Camino	2/8/15	Spanish
By His Wounds	2/8/15	English
Lord I Need You	2/15/15	English
Desert Song	2/15/15	Spanish
Eternamente Exaltado	2/15/15	Spanish
Rise	2/15/15	English
From the Inside Out	2/15/15	Spanish
God is Able	2/15/15	English
Montana	2/22/15	Spanish
Eres Fiel	2/22/15	Spanish
Oceans	2/22/15	English
Sovereign	2/22/15	English
Eres El Camino	2/22/15	Spanish
I Surrender All	2/22/15	English
Dios Majestuoso	3/1/15	Spanish
He Is Exalted	3/1/15	Both
Majesty (Here I Am)	3/1/15	English
To You Be The Glory	3/1/15	English
Mighty to Save	3/1/15	Spanish
All I Can Say	3/1/15	English
Give Us Clean Hands	3/8/15	English
Prince of Peace	3/8/15	Spanish
Aumenta mi fe	3/8/15	Spanish
Come As You Are	3/8/15	English
Come Thou Fount	3/8/15	English
Jesus All For Jesus	3/8/15	Both
The Stand	3/15/15	Spanish
Mi Jesus Mi Amado	3/15/15	Spanish
Fill Me Up	3/15/15	English
Lord I Need You	3/15/15	English
Sera Llena La Tierra	3/15/15	Spanish
On Jordan's Stormy Banks	3/15/15	English
Reinas por la Eternidad	3/22/15	Spanish
Relentless	3/22/15	Both
Come As You Are	3/22/15	English
Tu Palabra Mi Dios	3/22/15	Spanish
Fellowship So Deep	3/22/15	English
The Power of the Cross	3/22/15	English
Hear the Call of the Kingdom	3/29/15	English
Eres el Camino	3/29/15	Spanish
Mi Vida es Cristo	3/29/15	Spanish
Renuevame	3/29/15	Spanish
Build Your Kingdom Here	3/29/15	English
Take My Life	3/29/15	Both
When I Survey the Wondrous Cross	4/2/15	English
Come as You Are	4/2/15	English
Pan de Vida	4/2/15	Spanish
When I Survey the Wondrous Cross	4/3/15	English
Beautiful Scandalous Night	4/3/15	English
Jesus Messiah	4/3/15	Spanish
Me Postro	4/3/15	Spanish
Overcome	4/3/15	English
El Dios Que Adoramos	4/3/15	Spanish
Because He Lives (Amen)	4/5/15	English
El Dios Que Adoramos	4/5/15	Spanish
Doxology	4/12/15	Both
Indescribable	4/12/15	Both
Majesty (Here I Am)	4/12/15	English
Dame tus ojos	4/12/15	Spanish
Tu Palabra Mi Dios	4/12/15	Spanish
Build Your Kingdom Here	4/12/15	English
Eternamente Exaltado	4/19/15	Spanish
Relentless	4/19/15	Both
Be Thou My Vision	4/19/15	English
From the Inside Out	4/19/15	Spanish
Because He Lives (Amen)	4/19/15	English
Before the Throne	4/19/15	English
Behold Our God	4/26/15	Spanish
Forever	4/26/15	Both
At the Cross (Love Ran Red)	4/26/15	English
Give Me Jesus	4/26/15	Spanish
Jesus Paid It All	4/26/15	English
Hosanna (Hillsong)	4/26/15	English
How Deep the Father's Love for Us	5/3/15	English
Lead Me To The Cross	5/3/15	Spanish
Amazing Grace	5/3/15	Spanish
Oceans	5/3/15	English
No Es Como Yo	5/3/15	Spanish
Follow You	5/3/15	English
Sing for Joy	5/10/15	Spanish
Our God	5/10/15	Both
Build Your Kingdom Here	5/10/15	English
Eres El Camino	5/10/15	Spanish
Let Me Sing	5/10/15	English
"10,000 Reasons"	5/10/15	English
Love Like Fire	5/17/15	Spanish
Desert Song	5/17/15	Spanish
Fill Me Up	5/17/15	English
To You Be The Glory	5/17/15	English
The Stand	5/17/15	Spanish
I Surrender All	5/17/15	English
Dios Majestuoso	5/24/15	Spanish
"Holy, Holy, Holy"	5/24/15	Both
Majesty (Here I Am)	5/24/15	English
The Power of the Cross	5/24/15	English
El Dios Que Adoramos	5/24/15	Spanish
Worthy is the Lamb	5/24/15	Both
When I Think About the Lord	5/31/15	English
Eres Fiel	5/31/15	Spanish
Tengo Un Refugio	5/31/15	Spanish
It Is Well	5/31/15	Both
This I Believe (The Creed)	5/31/15	English
Sovereign	5/31/15	English
A Mighty Fortress	6/7/15	Both
Relentless	6/7/15	Both
You Never Let Go	6/7/15	English
Lord I Need You	6/7/15	English
Great Is Thy Faithfulness	6/7/15	Both
Aumenta mi fe	6/7/15	Spanish
This I Believe (The Creed)	6/14/15	English
Jesus Messiah	6/14/15	Spanish
Prince of Peace	6/14/15	Spanish
Jesus es el Senor	6/14/15	Spanish
Great I Am	6/14/15	English
Fill Me Up	6/14/15	English
Indescribable	6/21/15	Both
Our God	6/21/15	Both
Me Postro	6/21/15	Spanish
This I Believe (The Creed)	6/21/15	English
Build Your Kingdom Here	6/21/15	English
Mi Vida Es Cristo	6/21/15	Spanish
Eternamente Exaltado	6/28/15	Spanish
How Great Thou Art	6/28/15	Both
When I Think About the Lord	6/28/15	English
Que dulce es estar en tu presencia	6/28/15	Spanish
Yahweh	6/28/15	English
Forever	6/28/15	Spanish
Famous One	7/5/15	English
A Mighty Fortress	7/5/15	Both
Love Like Fire	7/5/15	Spanish
Amazing Grace	7/5/15	Spanish
Soon	7/5/15	English
On Jordan's Stormy Banks	7/5/15	English
Famous One	7/12/15	English
Your Grace Is Enough	7/12/15	Spanish
How Can It Be	7/12/15	English
Es Por Tu Gracia	7/12/15	Spanish
Behold Our God	7/12/15	Spanish
The Power of the Cross	7/12/15	English
Oh Love That Will Not Let Me Go	7/19/15	Spanish
Relentless	7/19/15	Both
How Can It Be	7/19/15	English
Me Postro	7/19/15	Spanish
Show Us Christ	7/19/15	English
Give Me Jesus	7/19/15	Spanish
Great I Am	7/26/15	English
Reinas por la Eternidad	7/26/15	Spanish
Tengo Un Refugio	7/26/15	Spanish
It Is Well	7/26/15	Both
This I Believe (The Creed)	7/26/15	English
At the Cross (Love Ran Red)	7/26/15	English
Captivated	8/2/15	English
Days of Elijah	8/2/15	Both
Indomable	8/2/15	Spanish
Como la brisa	8/2/15	Spanish
How Can It Be	8/2/15	English
Love Like Fire	8/2/15	Spanish
Eres El Camino	8/9/15	Spanish
Nothing but the blood of Jesus	8/9/15	Spanish
By His Wounds	8/9/15	English
How Deep the Father's Love for Us	8/9/15	English
Indomable	8/9/15	Spanish
Jesus Paid It All	8/9/15	English
Arise My Soul Arise	8/16/15	English
Tis So Sweet To Trust In Jesus	8/16/15	Both
Your Grace Is Enough	8/16/15	Spanish
Indomable	8/16/15	Spanish
Crown Him With Many Crowns	8/16/15	Spanish
How Can It Be	8/16/15	English
"10,000 Reasons"	8/23/15	English
Oceans	8/23/15	Spanish
You'll Come	8/23/15	Spanish
On Jordan's Stormy Banks	8/23/15	English
Show Us Christ	8/23/15	English
Take My Life	8/23/15	Both
Doxology	8/30/15	Both
Eternamente Exaltado	8/30/15	Spanish
Me Postro	8/30/15	Spanish
Seek Ye First	8/30/15	English
Soon	8/30/15	English
In Christ Alone	8/30/15	English
Lord I Need You	9/6/15	English
A Mighty Fortress	9/6/15	Both
El Dios Que Adoramos	9/6/15	Spanish
Come Thou Fount	9/6/15	English
Indomable	9/6/15	Spanish
Because He Lives (Amen)	9/6/15	English
How Great is our God	9/13/15	Both
"Holy, Holy, Holy"	9/13/15	Spanish
Majesty (Here I Am)	9/13/15	English
Reinas por la Eternidad	9/13/15	Spanish
Famous One	9/13/15	English
Spirit of the Living God	9/13/15	Both
Maravilloso es el Gran Amor	9/20/15	Spanish
Great Is Thy Faithfulness	9/20/15	Both
Sovereign	9/20/15	English
Holy Spirit	9/20/15	English
Mighty to Save	9/20/15	Spanish
At the Cross (Love Ran Red)	9/20/15	English
Sing to the King	9/27/15	Both
Eres El Camino	9/27/15	Spanish
Before the Throne	9/27/15	English
Come as You Are	9/27/15	English
Holy Spirit	9/27/15	English
Conmigo Est�s	9/27/15	Spanish
Me Has Atraido Jesus	10/4/15	Spanish
From the Inside Out	10/4/15	Spanish
Amazing Grace	10/4/15	English
God Be Merciful to Me	10/4/15	English
Conmigo Est�s	10/4/15	Spanish
How Can It Be	10/4/15	English
God Be Merciful to Me	10/11/15	English
There Is Nothing	10/11/15	English
Enamorame	10/11/15	Spanish
Conmigo Est�s	10/11/15	Spanish
Rise	10/11/15	English
Aumenta mi fe	10/11/15	Spanish
Doxology	10/18/15	Spanish
On Jordan's Stormy Banks	10/18/15	English
Give Me Jesus	10/18/15	Spanish
It Is Well	10/18/15	Both
Dios Majestuoso	10/25/15	Spanish
Our God	10/25/15	Both
Lord I Need You	10/25/15	English
House of God Forever	10/25/15	English
Tengo Un Refugio	10/25/15	Spanish
Came to My Rescue	10/25/15	Both
Prince of Peace	11/1/15	Spanish
Oh Moradora de Sion	11/1/15	Spanish
Come as You Are	11/1/15	English
Fellowship So Deep	11/1/15	English
Oceans	11/1/15	Spanish
To You Be The Glory	11/1/15	English
King of Glory - Third Day	11/8/15	English
All Creatures of Our God and King	11/8/15	Both
Revelation Song	11/8/15	Spanish
Pan de Vida	11/8/15	Spanish
Sing to the King	11/8/15	Both
On Jordan's Stormy Banks	11/8/15	English
When I Think About the Lord	11/15/15	English
Relentless	11/15/15	Both
Love Like Fire	11/15/15	Spanish
Lord I Need You	11/15/15	English
Behold Our God	11/15/15	Both
Reinas por la Eternidad	11/15/15	Spanish
In Christ Alone	11/22/15	English
A Mighty Fortress	11/22/15	Both
Conmigo Est�s	11/22/15	Spanish
Enamorame	11/22/15	Spanish
From the Inside Out	11/22/15	Both
The Stand	11/22/15	Both
Nothing but the blood of Jesus	11/29/15	Both
Give Us Clean Hands	11/29/15	English
None But Jesus	11/29/15	Spanish
Es por Tu Gracia	11/29/15	Spanish
By His Wounds	11/29/15	English
I Surrender All	11/29/15	Both
O Come O Come Emmanuel	12/6/15	Spanish
Desert Song	12/6/15	Spanish
Tis So Sweet To Trust In Jesus	12/6/15	Both
Come Thou Long Expected Jesus	12/6/15	English
By Faith	12/6/15	English
Oceans	12/6/15	Spanish
Come Thou Long Expected Jesus	12/13/15	English
By Faith	12/13/15	English
Joy to the World	12/13/15	Both
I Heard the Bells on Christmas Day	12/13/15	English
Suenen Dulces Himnos	12/13/15	Spanish
O Come all Ye Faithful	12/13/15	Both
Hark the Herald Angels Sing	12/20/15	Both
Angels from the Realms of Glory	12/20/15	English
O Come all Ye Faithful	12/20/15	Both
Great I Am	12/20/15	English
What Child is This	12/20/15	Both
Joy to the World	12/20/15	Both
Suenen Dulces Himnos	12/24/15	Spanish
Angels We Have Heard on High	12/24/15	Both
O Holy Night	12/24/15	Both
Silent Night	12/24/15	Both
Joy to the World	12/27/15	Both
Angels We Have Heard on High	12/27/15	Both
God Rest Ye Merry Gentlemen	12/27/15	English
Come and Worship	12/27/15	Both
Be Thou My Vision	12/27/15	English
Go Tell It On The Mountain	12/27/15	Spanish
Your Grace Is Enough	1/3/16	Spanish
Great Is Thy Faithfulness	1/3/16	Both
By Faith	1/3/16	English
Me Postro	1/3/16	Spanish
You Never Let Go	1/3/16	English
Conmigo Est�s	1/3/16	Spanish
Behold Our God	1/10/16	Spanish
Hosanna (Hillsong)	1/10/16	Both
Build Your Kingdom Here	1/10/16	English
Mi Vida Es Cristo	1/10/16	Spanish
All the People Said Amen	1/10/16	English
Eres El Camino	1/10/16	Spanish
"10,000 Reasons"	1/17/16	English
"Holy, Holy, Holy"	1/17/16	Spanish
I Surrender All	1/17/16	Both
Take My Life	1/17/16	Both
Be Thou My Vision	1/17/16	English
Mi Vida Es Cristo	1/17/16	Spanish
Behold Our God	1/24/16	Spanish
Relentless	1/24/16	Both
Sovereign	1/24/16	English
By Faith	1/24/16	English
Enamorame	1/24/16	Spanish
Soon	1/24/16	English
Me Postro	1/31/16	Spanish
Jesus Paid It All	1/31/16	English
How Can It Be	1/31/16	English
Es por Tu Gracia	1/31/16	Spanish
By His Wounds	1/31/16	English
Conmigo Est�s	1/31/16	Spanish
Reinas por la Eternidad	2/7/16	Spanish
God of This city	2/7/16	English
Indomable	2/7/16	Spanish
Because He Lives (Amen)	2/7/16	English
Hosanna (Hillsong)	2/7/16	Both
Build Your Kingdom Here	2/7/16	English
Behold Our God	2/14/16	Spanish
He is Exalted	2/14/16	Both
Lord I Need You	2/14/16	English
Your Grace Is Enough	2/14/16	Spanish
God of This city	2/14/16	English
Eres El Camino	2/14/16	Spanish
A Mighty Fortress	2/21/16	Both
None But Jesus	2/21/16	Spanish
Desert Song	2/21/16	Spanish
Because He Lives (Amen)	2/21/16	English
Nothing but the blood of Jesus	2/21/16	Both
By Faith	2/21/16	English
Doxology	2/28/16	Both
In Christ Alone	2/28/16	English
Hosanna (Hillsong)	2/28/16	Both
Me Postro	2/28/16	Spanish
At the Cross (Love Ran Red)	2/28/16	English
Reinas por la Eternidad	2/28/16	Spanish
El Dios Que Adoramos	3/6/16	Spanish
He Reigns	3/6/16	English
Hosanna (Hillsong)	3/6/16	Both
Worthy is the Lamb	3/6/16	Spanish
Psalm 23 (Surely Goodness Surely Mercy)	3/6/16	English
Build Your Kingdom Here	3/6/16	English
A Mighty Fortress	3/13/16	Both
Great I Am	3/13/16	Both
Psalm 23 (Surely Goodness Surely Mercy)	3/13/16	English
Aumenta mi fe	3/13/16	Spanish
Conmigo Est�s	3/13/16	Spanish
Give Me Jesus	3/13/16	Spanish
Dios Majestuoso	3/20/16	Spanish
Eres El Camino	3/20/16	Spanish
Praise the King	3/20/16	English
God of This city	3/20/16	English
Show Us Christ	3/20/16	English
The Stand	3/20/16	Spanish
"10,000 Reasons"	3/24/16	English
"Holy, Holy, Holy"	3/24/16	Both
Indescribable	3/24/16	Both
From the Inside Out	3/24/16	Spanish
When I Survey the Wondrous Cross	3/25/16	English
Lead Me To The Cross	3/25/16	Spanish
How Deep the Father's Love for Us	3/25/16	English
Eternamente Exaltado	3/25/16	Spanish
Beautiful	3/25/16	English
Gracia Sublime Es	3/25/16	Spanish
Praise the King	3/27/16	English
Revelation Song	3/27/16	Spanish
Jesus Messiah	3/27/16	Spanish
Es por Tu Gracia	3/27/16	Spanish
Because He Lives (Amen)	3/27/16	English
Gracia Sublime Es	4/3/16	Spanish
Before the Throne	4/3/16	English
Mi Jesus Mi Amado	4/3/16	Spanish
Psalm 23 (Surely Goodness Surely Mercy)	4/3/16	English
Holy Spirit	4/3/16	English
Reinas por la Eternidad	4/3/16	Spanish
Did You Feel the Mountains Tremble	4/10/16	English
Hosanna (Hillsong)	4/10/16	Both
Dios Majestuoso	4/10/16	Spanish
Be Thou My Vision	4/10/16	English
Gracia Sublime Es	4/10/16	Spanish
By Faith	4/10/16	English
Yahweh	4/17/16	English
Behold Our God	4/17/16	Spanish
Me Postro	4/17/16	Spanish
Lord I Need You	4/17/16	English
God is Able	4/17/16	Spanish
Praise the King	4/17/16	English
A Mighty Fortress	4/24/16	Both
Indomable	4/24/16	Spanish
Love Like Fire	4/24/16	Spanish
Jesus Paid It All	4/24/16	English
Gracia Sublime Es	4/24/16	Spanish
By Faith	4/24/16	English
God is Able	5/1/16	Spanish
Conmigo Est�s	5/1/16	Spanish
I Surrender All	5/1/16	Both
Yahweh	5/1/16	English
Death Was Arrested	5/1/16	English
At the Cross (Love Ran Red)	5/1/16	English
Beautiful	5/8/16	English
Great I Am	5/8/16	Both
Worthy is the Lamb	5/8/16	Both
From the Inside Out	5/8/16	Spanish
Enamorame	5/8/16	Spanish
Death Was Arrested	5/8/16	English
When I Think About the Lord	5/15/16	English
Mi Vida Es Cristo	5/15/16	Spanish
Tengo Un Refugio	5/15/16	Spanish
Psalm 23 (Surely Goodness Surely Mercy)	5/15/16	English
On Fire	5/15/16	English
Give Me Jesus	5/15/16	Spanish
Behold Our God	5/22/16	Spanish
In Christ Alone	5/22/16	English
How Deep the Father's Love for Us	5/22/16	English
Jesus Messiah	5/22/16	Spanish
From the Inside Out	5/22/16	Spanish
Oceans	5/22/16	English
Days of Elijah	5/29/16	Both
A Mighty Fortress	5/29/16	Both
Your Grace Is Enough	5/29/16	Spanish
Tengo Un Refugio	5/29/16	Spanish
Death Was Arrested	5/29/16	English
Nothing but the blood of Jesus	5/29/16	Both
Because He Lives (Amen)	6/5/16	English
Eres El Camino	6/5/16	Spanish
Reinas por la Eternidad	6/5/16	Spanish
Love Like Fire	6/5/16	Spanish
Oceans	6/5/16	English
By Faith	6/5/16	English
Gracia Sublime Es	6/12/16	Spanish
Relentless	6/12/16	Both
Come as You Are	6/12/16	English
Love Like Fire	6/12/16	Spanish
Praise the King	6/12/16	English
Aumenta mi fe	6/12/16	Spanish
Forever	6/19/16	Both
Whom Shall I Fear?	6/19/16	English
How Can It Be	6/19/16	English
Tengo Un Refugio	6/19/16	Spanish
Enamorame	6/19/16	English
Take My Life	6/19/16	Both
Mi Vida Es Cristo	6/26/16	Spanish
Great Is Thy Faithfulness	6/26/16	Both
Oceans	6/26/16	English
Worthy is the Lamb	6/26/16	Spanish
Dame Tus ojos	6/26/16	Spanish
Your Grace Is Enough	6/26/16	Spanish
Because He Lives (Amen)	7/3/16	English
How Great is our God	7/3/16	Both
Me Postro	7/3/16	Spanish
Sumergeme	7/3/16	Spanish
Liberty	7/3/16	English
Conmigo Est�s	7/3/16	Spanish
God is Able	7/10/16	Spanish
Great I Am	7/10/16	Both
Good Good Father	7/10/16	English
Sovereign	7/10/16	English
Eternamente Exaltado	7/10/16	Spanish
Holy Spirit	7/10/16	English
Eres El Camino	7/17/16	Spanish
Days of Elijah	7/17/16	Both
Whom Shall I Fear?	7/17/16	English
Good Good Father	7/17/16	Both
Lead Me To The Cross	7/17/16	Spanish
Hear the Call of the Kingdom	7/17/16	English
All Creatures of Our God and King	7/24/16	Spanish
In Christ Alone	7/24/16	English
A Mighty Fortress	7/24/16	Both
Tengo Un Refugio	7/24/16	Spanish
Psalm 23 (Surely Goodness Surely Mercy)	7/24/16	English
"10,000 Reasons"	7/24/16	English
El Dios Que Adoramos	7/31/16	Spanish
Indomable	7/31/16	Spanish
Love Like Fire	7/31/16	Spanish
Praise the King	7/31/16	English
Good Good Father	7/31/16	English
Gracia Sublime Es	7/31/16	Spanish
Praise to the Lord Almighty	8/7/16	English
At the Cross (Love Ran Red)	8/7/16	English
Amazing Grace	8/7/16	Spanish
Dame Tus ojos	8/7/16	Spanish
Crown Him With Many Crowns	8/7/16	Spanish
Death Was Arrested	8/7/16	English
Prince of Peace	8/14/16	Spanish
Desert Song	8/14/16	Spanish
Good Good Father	8/14/16	English
Oceans	8/14/16	Spanish
Hear the Call of the Kingdom	8/14/16	English
Death Was Arrested	8/14/16	English
O Worship the King	8/21/16	Both
Eternamente Exaltado	8/21/16	Spanish
Before the Throne	8/21/16	English
Psalm 23 (Surely Goodness Surely Mercy)	8/21/16	English
How Great Thou Art	8/21/16	Both
Sing to the King	8/21/16	Spanish
Behold Our God	8/28/16	Spanish
Psalm 46 (Lord of Hosts)	8/28/16	English
Hosanna (Hillsong)	8/28/16	Both
Me Postro	8/28/16	Spanish
God of This city	8/28/16	English
On Jordan's Stormy Banks	8/28/16	English
Crown Him With Many Crowns	9/4/16	Spanish
Reinas por la Eternidad	9/4/16	Spanish
Psalm 46 (Lord of Hosts)	9/4/16	English
Give Me Jesus	9/4/16	Spanish
"Holy, Holy, Holy"	9/4/16	Spanish
Good Good Father	9/4/16	English
El Dios Que Adoramos	9/11/16	Spanish
How Great is our God	9/11/16	Both
Come as You Are	9/11/16	English
Mi Jesus Mi Amado	9/11/16	Spanish
Forever	9/11/16	Both
Yahweh	9/11/16	English
Psalm 46 (Lord of Hosts)	9/18/16	English
Death Was Arrested	9/18/16	English
It Is Well	9/18/16	Spanish
Great Is Thy Faithfulness	9/18/16	Both
"Man of Sorrows (Hallelujah, What a Savior)"	9/18/16	Both
Came to My Rescue	9/18/16	Spanish
Holy Spirit	9/25/16	English
Revelation Song	9/25/16	Spanish
Eternamente Exaltado	9/25/16	Spanish
Conmigo Est�s	9/25/16	Spanish
Build Your Kingdom Here	9/25/16	English
Days of Elijah	9/25/16	Both
Gracia Sublime Es	10/2/16	Spanish
Hosanna (Hillsong)	10/2/16	Both
There Is Nothing	10/2/16	English
"Man of Sorrows (Hallelujah, What a Savior)"	10/2/16	Both
Show Us Christ	10/2/16	Both
By Faith	10/2/16	English
Indescribable	10/9/16	Both
Aumenta mi fe	10/9/16	Spanish
Holy Spirit	10/9/16	English
I Surrender All	10/9/16	Both
Consolador	10/9/16	Spanish
Praise to the Lord Almighty	10/9/16	English
Sing for Joy	10/16/16	Both
Eres El Camino	10/16/16	Spanish
Consolador	10/16/16	Spanish
Desert Song	10/16/16	English
It Is Well	10/16/16	Both
Psalm 130	10/16/16	English
Doxology	10/23/16	Both
A Mighty Fortress	10/23/16	Both
Jesus Messiah	10/23/16	Spanish
Because He Lives (Amen)	10/23/16	English
Eternamente Exaltado	10/23/16	Spanish
God of This city	10/23/16	English
In Christ Alone	10/30/16	English
Psalm 46 (Lord of Hosts)	10/30/16	English
Behold Our God	10/30/16	Spanish
Love Like Fire	10/30/16	Spanish
Desert Song	10/30/16	Spanish
Praise the King	10/30/16	English
Mi Vida Es Cristo	11/6/16	Spanish
"Holy, Holy, Holy"	11/6/16	Spanish
Praise to the Lord Almighty	11/6/16	English
Consolador	11/6/16	Spanish
Psalm 130	11/6/16	English
El Dios Que Adoramos	11/6/16	Spanish
All Creatures of Our God and King	11/13/16	Both
Hosanna (Hillsong)	11/13/16	Both
Oceans	11/13/16	English
Tengo Un Refugio	11/13/16	Spanish
Me Postro	11/13/16	Spanish
Build Your Kingdom Here	11/13/16	English
"10,000 Reasons"	11/20/16	English
Prince of Peace	11/20/16	Both
Revelation Song	11/20/16	Spanish
Tis So Sweet To Trust In Jesus	11/20/16	Both
Spirit of the Living God	11/20/16	Both
Great Is Thy Faithfulness	11/20/16	Both
Conmigo Est�s	11/27/16	Spanish
Tis So Sweet To Trust In Jesus	11/27/16	Both
Psalm 23 (Surely Goodness Surely Mercy)	11/27/16	English
Psalm 130	11/27/16	English
God is Able	11/27/16	Spanish
You'll Come	11/27/16	Spanish
O Come O Come Emmanuel	12/4/16	Spanish
Angels We Have Heard on High	12/4/16	Both
